##Iter	TotalE	TotalM
927 -84 50 2500
928 -84 50 2500
929 -84 50 2500
930 -84 50 2500
931 -92 52 2704
932 -92 52 2704
933 -92 52 2704
934 -92 52 2704
935 -92 52 2704
936 -92 52 2704
937 -92 52 2704
938 -92 52 2704
939 -92 52 2704
940 -92 52 2704
941 -92 52 2704
942 -96 54 2916
943 -96 54 2916
944 -96 54 2916
945 -96 54 2916
946 -96 54 2916
947 -96 54 2916
948 -96 54 2916
949 -92 52 2704
950 -92 52 2704
951 -92 52 2704
952 -92 52 2704
953 -92 52 2704
954 -92 52 2704
955 -92 52 2704
956 -92 52 2704
957 -92 52 2704
958 -88 50 2500
959 -88 50 2500
960 -88 50 2500
961 -88 50 2500
962 -84 48 2304
963 -80 46 2116
964 -80 46 2116
965 -80 46 2116
966 -80 46 2116
967 -80 46 2116
968 -80 46 2116
969 -80 46 2116
970 -80 46 2116
971 -80 46 2116
972 -80 46 2116
973 -84 48 2304
974 -84 48 2304
975 -88 50 2500
976 -88 50 2500
977 -88 50 2500
978 -92 52 2704
979 -92 52 2704
980 -92 52 2704
981 -92 50 2500
982 -92 50 2500
983 -92 50 2500
984 -92 50 2500
985 -96 52 2704
986 -96 52 2704
987 -96 52 2704
988 -96 52 2704
989 -100 54 2916
990 -104 56 3136
991 -104 56 3136
992 -108 58 3364
993 -108 58 3364
994 -108 58 3364
995 -108 58 3364
996 -108 58 3364
997 -108 58 3364
998 -112 60 3600
999 -112 60 3600
1000 -112 60 3600
1001 -112 60 3600
1002 -112 60 3600
1003 -112 60 3600
1004 -112 60 3600
1005 -108 58 3364
1006 -108 58 3364
1007 -108 58 3364
1008 -108 58 3364
1009 -108 58 3364
1010 -108 58 3364
1011 -108 58 3364
1012 -108 58 3364
1013 -108 58 3364
1014 -108 58 3364
1015 -108 58 3364
1016 -108 58 3364
1017 -108 58 3364
1018 -108 58 3364
1019 -108 58 3364
1020 -108 58 3364
1021 -108 58 3364
1022 -108 58 3364
1023 -108 58 3364
1024 -108 58 3364
1025 -108 58 3364
1026 -108 58 3364
1027 -108 58 3364
1028 -108 58 3364
1029 -108 58 3364
1030 -108 58 3364
1031 -108 58 3364
1032 -108 58 3364
1033 -108 58 3364
1034 -108 58 3364
1035 -108 58 3364
1036 -108 58 3364
1037 -100 56 3136
1038 -100 56 3136
1039 -100 56 3136
1040 -100 56 3136
1041 -100 56 3136
1042 -100 56 3136
1043 -100 56 3136
1044 -100 56 3136
1045 -100 56 3136
1046 -100 56 3136
1047 -100 56 3136
1048 -100 56 3136
